row_id,target
RBT_080001,7
RBT_080002,3
RBT_080003,7
RBT_080004,6
RBT_080005,7
RBT_080006,4
RBT_080007,5
RBT_080008,4
RBT_080009,3
RBT_080010,4
RBT_080011,1
RBT_080012,6
RBT_080013,3
RBT_080014,5
RBT_080015,7
RBT_080016,6
RBT_080017,6
RBT_080018,5
RBT_080019,4
RBT_080020,5
RBT_080021,2
RBT_080022,2
RBT_080023,6
RBT_080024,5
RBT_080025,1
RBT_080026,5
RBT_080027,6
RBT_080028,3
RBT_080029,6
RBT_080030,5
RBT_080031,6
RBT_080032,5
RBT_080033,4
RBT_080034,2
RBT_080035,1
RBT_080036,5
RBT_080037,3
RBT_080038,7
RBT_080039,5
RBT_080040,5
RBT_080041,5
RBT_080042,4
RBT_080043,3
RBT_080044,2
RBT_080045,5
RBT_080046,6
RBT_080047,6
RBT_080048,6
RBT_080049,7
RBT_080050,7
RBT_080051,7
RBT_080052,5
RBT_080053,3
RBT_080054,2
RBT_080055,7
RBT_080056,4
RBT_080057,1
RBT_080058,5
RBT_080059,6
RBT_080060,7
RBT_080061,5
RBT_080062,5
RBT_080063,6
RBT_080064,5
RBT_080065,2
RBT_080066,7
RBT_080067,5
RBT_080068,1
RBT_080069,1
RBT_080070,2
RBT_080071,6
RBT_080072,6
RBT_080073,4
RBT_080074,5
RBT_080075,5
RBT_080076,2
RBT_080077,5
RBT_080078,5
RBT_080079,6
RBT_080080,6
RBT_080081,1
RBT_080082,3
RBT_080083,5
RBT_080084,5
RBT_080085,7
RBT_080086,6
RBT_080087,1
RBT_080088,1
RBT_080089,5
RBT_080090,6
RBT_080091,6
RBT_080092,3
RBT_080093,7
RBT_080094,3
RBT_080095,5
RBT_080096,3
RBT_080097,1
RBT_080098,6
RBT_080099,1
RBT_080100,5
RBT_080101,2
RBT_080102,1
RBT_080103,7
RBT_080104,7
RBT_080105,5
RBT_080106,5
RBT_080107,7
RBT_080108,6
RBT_080109,7
RBT_080110,4
RBT_080111,5
RBT_080112,5
RBT_080113,5
RBT_080114,5
RBT_080115,6
RBT_080116,3
RBT_080117,4
RBT_080118,3
RBT_080119,5
RBT_080120,6
RBT_080121,4
RBT_080122,6
RBT_080123,4
RBT_080124,5
RBT_080125,3
RBT_080126,7
RBT_080127,5
RBT_080128,6
RBT_080129,7
RBT_080130,3
RBT_080131,4
RBT_080132,5
RBT_080133,4
RBT_080134,6
RBT_080135,2
RBT_080136,5
RBT_080137,3
RBT_080138,7
RBT_080139,6
RBT_080140,6
RBT_080141,2
RBT_080142,3
RBT_080143,6
RBT_080144,5
RBT_080145,1
RBT_080146,5
RBT_080147,5
RBT_080148,2
RBT_080149,5
RBT_080150,3
RBT_080151,6
RBT_080152,5
RBT_080153,6
RBT_080154,5
RBT_080155,5
RBT_080156,6
RBT_080157,5
RBT_080158,5
RBT_080159,4
RBT_080160,5
RBT_080161,6
RBT_080162,5
RBT_080163,7
RBT_080164,6
RBT_080165,6
RBT_080166,6
RBT_080167,5
RBT_080168,6
RBT_080169,5
RBT_080170,2
RBT_080171,6
RBT_080172,4
RBT_080173,5
RBT_080174,2
RBT_080175,7
RBT_080176,5
RBT_080177,1
RBT_080178,5
RBT_080179,6
RBT_080180,6
RBT_080181,5
RBT_080182,3
RBT_080183,7
RBT_080184,7
RBT_080185,2
RBT_080186,2
RBT_080187,5
RBT_080188,5
RBT_080189,5
RBT_080190,4
RBT_080191,1
RBT_080192,5
RBT_080193,3
RBT_080194,5
RBT_080195,5
RBT_080196,3
RBT_080197,5
RBT_080198,6
RBT_080199,2
RBT_080200,5
RBT_080201,4
RBT_080202,2
RBT_080203,5
RBT_080204,4
RBT_080205,3
RBT_080206,5
RBT_080207,5
RBT_080208,5
RBT_080209,3
RBT_080210,7
RBT_080211,4
RBT_080212,4
RBT_080213,3
RBT_080214,2
RBT_080215,7
RBT_080216,5
RBT_080217,6
RBT_080218,5
RBT_080219,5
RBT_080220,7
RBT_080221,2
RBT_080222,4
RBT_080223,3
RBT_080224,5
RBT_080225,5
RBT_080226,4
RBT_080227,6
RBT_080228,1
RBT_080229,4
RBT_080230,6
RBT_080231,5
RBT_080232,6
RBT_080233,4
RBT_080234,4
RBT_080235,6
RBT_080236,7
RBT_080237,4
RBT_080238,4
RBT_080239,2
RBT_080240,6
RBT_080241,6
RBT_080242,5
RBT_080243,6
RBT_080244,6
RBT_080245,6
RBT_080246,5
RBT_080247,3
RBT_080248,6
RBT_080249,4
RBT_080250,6
RBT_080251,4
RBT_080252,3
RBT_080253,5
RBT_080254,4
RBT_080255,4
RBT_080256,4
RBT_080257,3
RBT_080258,5
RBT_080259,6
RBT_080260,3
RBT_080261,4
RBT_080262,5
RBT_080263,6
RBT_080264,4
RBT_080265,4
RBT_080266,6
RBT_080267,4
RBT_080268,6
RBT_080269,5
RBT_080270,5
RBT_080271,5
RBT_080272,2
RBT_080273,5
RBT_080274,4
RBT_080275,6
RBT_080276,7
RBT_080277,3
RBT_080278,2
RBT_080279,4
RBT_080280,5
RBT_080281,1
RBT_080282,6
RBT_080283,7
RBT_080284,6
RBT_080285,4
RBT_080286,2
RBT_080287,5
RBT_080288,4
RBT_080289,3
RBT_080290,5
RBT_080291,6
RBT_080292,4
RBT_080293,5
RBT_080294,5
RBT_080295,5
RBT_080296,1
RBT_080297,5
RBT_080298,5
RBT_080299,2
RBT_080300,5
RBT_080301,4
RBT_080302,5
RBT_080303,5
RBT_080304,6
RBT_080305,4
RBT_080306,7
RBT_080307,7
RBT_080308,5
RBT_080309,7
RBT_080310,5
RBT_080311,6
RBT_080312,2
RBT_080313,1
RBT_080314,4
RBT_080315,2
RBT_080316,7
RBT_080317,6
RBT_080318,6
RBT_080319,1
RBT_080320,4
RBT_080321,2
RBT_080322,6
RBT_080323,5
RBT_080324,3
RBT_080325,5
RBT_080326,2
RBT_080327,3
RBT_080328,2
RBT_080329,6
RBT_080330,5
RBT_080331,4
RBT_080332,1
RBT_080333,5
RBT_080334,5
RBT_080335,4
RBT_080336,5
RBT_080337,2
RBT_080338,7
RBT_080339,4
RBT_080340,7
RBT_080341,5
RBT_080342,6
RBT_080343,5
RBT_080344,6
RBT_080345,1
RBT_080346,3
RBT_080347,5
RBT_080348,4
RBT_080349,7
RBT_080350,5
RBT_080351,7
RBT_080352,5
RBT_080353,6
RBT_080354,5
RBT_080355,3
RBT_080356,1
RBT_080357,5
RBT_080358,7
RBT_080359,2
RBT_080360,6
RBT_080361,5
RBT_080362,7
RBT_080363,6
RBT_080364,4
RBT_080365,6
RBT_080366,6
RBT_080367,6
RBT_080368,2
RBT_080369,6
RBT_080370,4
RBT_080371,5
RBT_080372,2
RBT_080373,5
RBT_080374,7
RBT_080375,3
RBT_080376,6
RBT_080377,5
RBT_080378,4
RBT_080379,1
RBT_080380,5
RBT_080381,3
RBT_080382,6
RBT_080383,1
RBT_080384,5
RBT_080385,5
RBT_080386,4
RBT_080387,6
RBT_080388,3
RBT_080389,6
RBT_080390,3
RBT_080391,1
RBT_080392,7
RBT_080393,5
RBT_080394,5
RBT_080395,4
RBT_080396,3
RBT_080397,6
RBT_080398,5
RBT_080399,4
RBT_080400,4
RBT_080401,7
RBT_080402,7
RBT_080403,4
RBT_080404,6
RBT_080405,3
RBT_080406,6
RBT_080407,2
RBT_080408,6
RBT_080409,5
RBT_080410,2
RBT_080411,5
RBT_080412,3
RBT_080413,3
RBT_080414,5
RBT_080415,7
RBT_080416,7
RBT_080417,6
RBT_080418,6
RBT_080419,5
RBT_080420,5
RBT_080421,6
RBT_080422,2
RBT_080423,7
RBT_080424,4
RBT_080425,5
RBT_080426,4
RBT_080427,3
RBT_080428,6
RBT_080429,4
RBT_080430,4
RBT_080431,3
RBT_080432,5
RBT_080433,5
RBT_080434,5
RBT_080435,1
RBT_080436,5
RBT_080437,4
RBT_080438,3
RBT_080439,5
RBT_080440,5
RBT_080441,5
RBT_080442,5
RBT_080443,5
RBT_080444,2
RBT_080445,3
RBT_080446,1
RBT_080447,7
RBT_080448,3
RBT_080449,6
RBT_080450,6
RBT_080451,6
RBT_080452,5
RBT_080453,5
RBT_080454,3
RBT_080455,2
RBT_080456,5
RBT_080457,6
RBT_080458,6
RBT_080459,6
RBT_080460,7
RBT_080461,5
RBT_080462,4
RBT_080463,6
RBT_080464,3
RBT_080465,1
RBT_080466,1
RBT_080467,5
RBT_080468,7
RBT_080469,5
RBT_080470,4
RBT_080471,5
RBT_080472,5
RBT_080473,6
RBT_080474,4
RBT_080475,5
RBT_080476,1
RBT_080477,5
RBT_080478,6
RBT_080479,5
RBT_080480,5
RBT_080481,4
RBT_080482,4
RBT_080483,5
RBT_080484,5
RBT_080485,7
RBT_080486,4
RBT_080487,2
RBT_080488,7
RBT_080489,4
RBT_080490,6
RBT_080491,6
RBT_080492,6
RBT_080493,5
RBT_080494,5
RBT_080495,2
RBT_080496,5
RBT_080497,5
RBT_080498,7
RBT_080499,5
RBT_080500,6
RBT_080501,3
RBT_080502,6
RBT_080503,1
RBT_080504,5
RBT_080505,6
RBT_080506,5
RBT_080507,3
